code,Quantile
combinatorics probability & computing,Q2
australian journal of forensic sciences,Q4
random matrices-theory and applications,Q3
chelonian conservation and biology,Q3
journal of rubber research,Q4
nordic psychology,Q4
journal of contemporary european studies,Q2
journal of time series analysis,Q3
iranian journal of immunology,Q4
australian journal of advanced nursing,Q4
erwerbs-obstbau,Q3
journal of scholarly publishing,N/A
early child development and care,Q4
cellular and molecular biology,Q4
international journal of acarology,Q3
acta zoologica,Q3
austral entomology,Q3
technology and health care,Q4
china perspectives,Q2
journal of bioinformatics and computational biology,Q4
european review of applied psychology-revue europeenne de psychologie appliquee,Q4
geografiska annaler series a-physical geography,Q3
international finance,Q4
electronics letters,Q4
gravitation & cosmology,Q4
journal of ethology,Q3
american journal of medical quality,Q4
east asian science technology and society-an international journal,N/A
concepts in magnetic resonance part b-magnetic resonance engineering,Q4
journal of forensic nursing,Q4
hec forum,Q3
gesundheitswesen,Q4
mathematische nachrichten,Q2
international journal of aerospace engineering,Q4
centaurus,N/A
hautarzt,Q4
raffles bulletin of zoology,Q3
rbgn-revista brasileira de gestao de negocios,Q4
mammalia,Q3
banach journal of mathematical analysis,Q2
ardea,Q2
philosophical magazine letters,Q3
folia morphologica,Q4
herpetological journal,Q3
journal francais d ophtalmologie,Q4
astronomy letters-a journal of astronomy and space astrophysics,Q4
quantum electronics,Q4
nursing economics,Q4
journal of social service research,Q4
chinese journal of analytical chemistry,Q4
horticultural science,Q3
international journal of cast metals research,Q3
high energy density physics,Q4
education and urban society,Q4
history of the family,Q2
journal of educational measurement,Q4
journal of adolescent & adult literacy,Q4
soziale welt-zeitschrift fur sozialwissenschaftliche forschung und praxis,Q4
compost science & utilization,Q4
ethics & international affairs,Q3
verhaltenstherapie,Q4
wisconsin law review,Q3
anthropological science,Q4
advances in applied clifford algebras,Q3
acta biotheoretica,Q4
acta crystallographica section c-structural chemistry,Q4
organic preparations and procedures international,Q4
social behavior and personality,Q4
comparative cytogenetics,Q3
milan journal of mathematics,Q2
structural engineering international,Q4
advances in anatomy embryology and cell biology,Q4
vitis,Q3
discrete event dynamic systems-theory and applications,Q3
annals of clinical and laboratory science,Q4
archives of mechanics,Q4
europe-asia studies,Q2
brazilian archives of biology and technology,Q4
annals of the institute of statistical mathematics,Q3
global governance,Q4
new generation computing,Q3
journal of social work practice,Q4
journal of ocean university of china,Q4
british journal of music education,N/A
journal of nanophotonics,Q4
linear & multilinear algebra,Q2
bryologist,Q4
australian mammalogy,Q3
helminthologia,Q3
journal of competition law & economics,Q3
deutsche entomologische zeitschrift,Q3
statistical methods and applications,Q3
journal of african economies,Q4
ophthalmologe,Q4
rethinking history,N/A
biomedica,Q4
open economies review,Q4
astronomy reports,Q4
selecta mathematica-new series,Q2
argumentation,N/A
journal of craniofacial surgery,Q4
australian feminist studies,Q3
state politics & policy quarterly,Q4
international journal of law in context,Q3
computer science and information systems,Q4
journal of pediatric hematology oncology,Q4
current science,Q3
nutricion hospitalaria,Q4
international food research journal,Q4
informs journal on applied analytics,Q4
evolution equations and control theory,Q2
european physical journal-applied physics,Q4
bird study,Q2
culture & psychology,Q4
oceania,Q3
integral transforms and special functions,Q2
invertebrate reproduction & development,Q3
journal of micro-nanolithography mems and moems,Q4
celebrity studies,N/A
forestry chronicle,Q3
folia biologica,Q4
archives of disease in childhood-education and practice edition,Q4
linguistics and philosophy,N/A
zeitschrift der deutschen gesellschaft fur geowissenschaften,Q4
fundamenta informaticae,Q3
ricerche di matematica,Q2
pediatric neurosurgery,Q4
zeitschrift fur erziehungswissenschaft,Q4
journal of disability policy studies,Q4
javnost-the public,Q4
international politics,Q4
international journal of music education,N/A
journal of nonlinear mathematical physics,Q3
communications in statistics-simulation and computation,Q3
university politehnica of bucharest scientific bulletin-series a-applied mathematics and physics,Q3
american journal of family therapy,Q4
gastroenterology nursing,Q4
science china-mathematics,Q2
english today,N/A
survey review,Q4
integrative psychological and behavioral science,Q4
fordham law review,Q3
natural language & linguistic theory,N/A
journal of the audio engineering society,Q4
computational methods and function theory,Q2
revista espanola de derecho constitucional,Q3
journal of veterinary dentistry,Q3
central european journal of public health,Q4
annales de la societe entomologique de france,Q3
journal of biomedical informatics,Q1
american journal of geriatric psychiatry,Q1
translational psychiatry,Q1
caai transactions on intelligence technology,Q1
journal of environmental chemical engineering,Q1
american economic journal-applied economics,Q1
surveys in geophysics,Q1
current opinion in environmental sustainability,Q1
implementation science,Q1
plant cell and environment,Q1
journal of the american medical informatics association,Q1
journal of tissue engineering,Q1
pain,Q1
process safety and environmental protection,Q1
nanophotonics,Q1
cancer nanotechnology,Q1
annual review of statistics and its application,Q1
journal of finance,Q1
brookings papers on economic activity,Q1
reviews of environmental contamination and toxicology,Q1
biomedical journal,Q1
separation and purification reviews,Q1
journal of business logistics,Q1
epilepsy currents,Q1
current directions in psychological science,Q1
advanced engineering informatics,Q1
ieee-caa journal of automatica sinica,Q1
academic medicine,Q1
review of economic studies,Q1
review of international organizations,Q1
agronomy for sustainable development,Q1
cell reports physical science,Q1
journal of adolescent health,Q1
long range planning,Q1
science and technology of advanced materials,Q1
epidemiology and psychiatric sciences,Q1
strategic management journal,Q1
engineering applications of artificial intelligence,Q1
journal of the american medical directors association,Q1
mbio,Q1
current opinion in structural biology,Q1
soft robotics,Q1
inorganic chemistry frontiers,Q1
computational linguistics,N/A
histopathology,Q1
journal of behavioral addictions,Q1
information systems journal,Q1
weather and climate extremes,Q1
journal of infectious diseases,Q1
environmental technology & innovation,Q1
european journal of internal medicine,Q1
american journal of respiratory cell and molecular biology,Q1
annual review of vision science,Q1
biodrugs,Q1
phytochemistry reviews,Q1
acta psychiatrica scandinavica,Q1
international journal of electronic commerce,Q1
eurointervention,Q1
oncoimmunology,Q1
journal of the american society of echocardiography,Q1
critical reviews in clinical laboratory sciences,Q1
corrosion science,Q1
circulation-arrhythmia and electrophysiology,Q1
biological procedures online,Q1
current neuropharmacology,Q1
journal of occupational health psychology,Q1
gastric cancer,Q1
ieee journal of selected topics in signal processing,Q1
construction and building materials,Q1
tourism review,Q1
composites communications,Q1
antioxidants,Q1
international journal of applied earth observation and geoinformation,Q1
international journal of mining science and technology,Q1
biotechnology for biofuels,Q1
cells,Q2
current opinion in electrochemistry,Q1
journal of global health,Q1
gigascience,Q1
stem cells translational medicine,Q1
alcohol research-current reviews,Q1
journal of environmental psychology,Q1
medical education,Q1
clinical nutrition,Q1
blood advances,Q1
biological research,Q1
advanced electronic materials,Q1
sustainable energy technologies and assessments,Q2
transportation research part b-methodological,Q1
journal of hospitality and tourism management,Q1
computers and concrete,Q1
obstetrics and gynecology,Q1
expert reviews in molecular medicine,Q1
materials today chemistry,Q1
brain pathology,Q1
international journal of educational technology in higher education,Q1
tourism management perspectives,Q1
progress in human geography,Q1
journal of urology,Q1
qualitative research in sport exercise and health,Q1
biomaterials science,Q1
journal of investigative dermatology,Q1
general hospital psychiatry,Q1
learning media and technology,Q1
current opinion in microbiology,Q1
journal of management information systems,Q1
geroscience,Q1
current issues in tourism,Q2
acta neuropathologica communications,Q1
energy policy,Q1
family business review,Q2
journal of network and computer applications,Q1
journal of materials chemistry b,Q1
conservation biology,Q1
wiley interdisciplinary reviews-data mining and knowledge discovery,Q1
journal of the american geriatrics society,Q1
journal of infection and public health,Q1
journal of physics-energy,Q1
cell communication and signaling,Q2
acta physiologica,Q1
applied psychology-health and well being,Q1
journal of intensive care,Q1
npj breast cancer,Q1
lab on a chip,Q1
circulation-cardiovascular interventions,Q1
prx quantum,Q1
journal of abnormal psychology,Q1
osteoarthritis and cartilage,Q1
reviews of physiology biochemistry and pharmacology,Q1
people and nature,Q1
modern language journal,Q1
seminars in cell & developmental biology,Q1
biological conservation,Q1
child and adolescent psychiatry and mental health,Q1
progress of theoretical and experimental physics,Q1
fertility and sterility,Q1
geoscience frontiers,Q1
international soil and water conservation research,Q1
allergology international,Q1
international reviews in physical chemistry,Q1
journal of clinical periodontology,Q1
antioxidants & redox signaling,Q1
information processing & management,Q1
circulation-genomic and precision medicine,Q1
plos pathogens,Q1
russian chemical reviews,Q1
infection,Q1
british journal of management,Q1
molecular oncology,Q1
science communication,Q1
quarterly reviews of biophysics,Q1
journal of computer-mediated communication,Q1
wiley interdisciplinary reviews-water,Q1
food research international,Q1
international review of sport and exercise psychology,Q1
international journal of bioprinting,Q1
geoderma,Q1
computerized medical imaging and graphics,Q1
biomedicine & pharmacotherapy,Q1
bmj quality & safety,Q1
clinical child and family psychology review,Q1
journal of clinical epidemiology,Q1
acm transactions on graphics,Q1
international journal of hygiene and environmental health,Q1
fish and fisheries,Q1
journal of organizational and end user computing,Q1
neuroimage,Q1
global strategy journal,Q1
applied surface science,Q1
critical reviews in microbiology,Q1
journal of science-advanced materials and devices,Q1
molecular & cellular proteomics,Q1
tissue engineering part b-reviews,Q1
soil & tillage research,Q1
heart,Q1
bmc biology,Q1
work and stress,Q1
schizophrenia bulletin,Q1
emotion review,Q1
journal of water process engineering,Q1
diabetes technology & therapeutics,Q1
electrochimica acta,Q1
bjog-an international journal of obstetrics and gynaecology,Q1
ieee transactions on power systems,Q1
msystems,Q1
international journal of cancer,Q1
oxidative medicine and cellular longevity,Q2
future generation computer systems-the international journal of escience,Q1
solar energy materials and solar cells,Q1
review of research in education,Q1
advanced intelligent systems,Q1
journal of experimental botany,Q1
stem cell reports,Q2
journal of accounting & economics,Q1
horticulture research,Q1
international journal of physical distribution & logistics management,Q1
inflammatory bowel diseases,Q1
communications earth & environment,Q1
wiley interdisciplinary reviews-systems biology and medicine,Q1
journal of neuroimmune pharmacology,Q1
nukleonika,Q4
world englishes,N/A
journal of legal analysis,Q3
oxford economic papers-new series,Q4
journal of applied fluid mechanics,Q4
journal of mathematical sociology,Q4
turkish journal of chemistry,Q4
operations research letters,Q4
journal of automated reasoning,Q4
grundwasser,Q4
iet software,Q4
russian journal of numerical analysis and mathematical modelling,Q3
journal of media ethics,Q3
human rights law review,Q3
international journal of nursing knowledge,Q4
quality management in health care,Q4
ethos,Q3
journal of the american animal hospital association,Q3
journal of the international phonetic association,N/A
ima journal of applied mathematics,Q3
hellenic journal of nuclear medicine,Q4
acta chiropterologica,Q3
quimica nova,Q4
journal of mathematical inequalities,Q2
journal of african cultural studies,N/A
economia politica,Q4
undersea and hyperbaric medicine,Q4
fly,Q4
clinical nurse specialist,Q4
austrian journal of forest science,Q4
advances in physical organic chemistry,Q4
bangladesh journal of pharmacology,Q4
revista de la facultad de ciencias agrarias,Q3
journal of information science and engineering,Q4
geotectonics,Q4
mathematical control and related fields,Q2
revista de nutricao-brazilian journal of nutrition,Q4
brain impairment,Q4
journal of internet technology,Q4
ethology ecology & evolution,Q3
erdkunde,Q4
annals of geophysics,Q4
journal of official statistics,Q3
zoomorphology,Q3
journal of food and nutrition research,Q4
journal of modern african studies,Q2
asia-pacific journal of accounting & economics,Q4
clinical neuropathology,Q4
armed forces & society,Q4
electronic journal of probability,Q3
russian geology and geophysics,Q4
global nest journal,Q4
atomization and sprays,Q4
teachers college record,Q4
plasma physics reports,Q4
geochronometria,Q4
organizational dynamics,Q4
revista brasileira de fruticultura,Q3
middle east journal,Q2
journal d analyse mathematique,Q2
british journal of religious education,N/A
hypatia-a journal of feminist philosophy,N/A
acsms health & fitness journal,Q4
international journal of middle east studies,Q3
european journal of entomology,Q3
anatomia histologia embryologia,Q3
electronic journal of differential equations,Q2
journal of computational mathematics,Q2
journal of visual impairment & blindness,Q4
equine veterinary education,Q3
sociological spectrum,Q4
pigment & resin technology,Q4
journal of nuclear science and technology,Q4
somatosensory and motor research,Q4
british journal of guidance & counselling,Q4
journal of forensic psychiatry & psychology,Q4
infants & young children,Q4
british journal of neurosurgery,Q4
cahiers agricultures,Q3
acta societatis botanicorum poloniae,Q4
revista da escola de enfermagem da usp,Q4
biologia plantarum,Q4
longitudinal and life course studies,Q3
journal of instrumentation,Q4
asian economic journal,Q4
high temperature materials and processes,Q4
proceedings of the institution of civil engineers-transport,Q4
nagoya mathematical journal,Q2
future of children,Q3
nigerian journal of clinical practice,Q4
journal of the royal army medical corps,Q4
quantum topology,Q2
origins of life and evolution of biospheres,Q4
journal of investigative psychology and offender profiling,Q4
colloid journal,Q4
review of religious research,N/A
politics religion & ideology,N/A
revista brasileira de paleontologia,Q4
journal of applied probability,Q4
acoustical physics,Q4
language problems & language planning,N/A
zeitschrift fur naturforschung section b-a journal of chemical sciences,Q4
journal of nippon medical school,Q4
polish journal of chemical technology,Q4
canadian entomologist,Q3
diagnostica,Q4
european surgical research,Q4
contemporary southeast asia,Q3
journal of new music research,N/A
legal studies,Q3
acm transactions on algorithms,Q3
rechtsmedizin,Q4
mediterranean botany,Q4
philosophia mathematica,N/A
materials express,Q4
journal of experimental and theoretical physics,Q4
behavioral psychology-psicologia conductual,Q4
journal of coastal research,Q4
biocell,Q4
scandinavian journal of economics,Q4
interdisciplinary science reviews,Q3
history workshop journal,N/A
zeitschrift fur orthopadie und unfallchirurgie,Q4
african health sciences,Q4
physics of wave phenomena,Q4
american journal of forensic medicine and pathology,Q4
topics in companion animal medicine,Q3
journal of marine research,Q4
dermatologica sinica,Q4
journal of the chinese institute of engineers,Q4
journal of spectral theory,Q2
advancements of microbiology,Q4
political theory,Q4
netherlands journal of medicine,Q4
radioengineering,Q4
vascular,Q4
journal of the japan petroleum institute,Q3
journal of veterinary medical science,Q3
journal of applied philosophy,N/A
acta endocrinologica-bucharest,Q4
fibres & textiles in eastern europe,Q3
central european journal of energetic materials,Q4
american journal of economics and sociology,Q4
texas heart institute journal,Q4
advances in differential equations,Q2
economics-the open access open-assessment e-journal,Q4
acta biologica cracoviensia series botanica,Q4
pci journal,Q4
pakistan journal of botany,Q4
kinesiology,Q4
formal methods in system design,Q3
pesquisa agropecuaria brasileira,Q3
social analysis,Q3
journal of the serbian chemical society,Q4
rae-revista de administracao de empresas,Q4
serbian astronomical journal,Q4
letters in drug design & discovery,Q4
baltic journal of road and bridge engineering,Q4
asian economic papers,Q4
revista brasileira de anestesiologia,Q4
proceedings of the institution of civil engineers-energy,Q4
portal-libraries and the academy,Q3
journal of chemical research,Q4
education and treatment of children,Q4
potential analysis,Q2
journal of statistical planning and inference,Q4
japanese psychological research,Q4
insight,Q4
wildfowl,Q3
graphical models,Q4
new zealand journal of crop and horticultural science,Q3
ostrich,Q3
journal of corporate law studies,Q3
advances in astronomy,Q4
contemporary south asia,N/A
laser and particle beams,Q4
mechanical engineering,Q4
membrane and water treatment,Q4
indian journal of traditional knowledge,Q4
modeling identification and control,Q4
acta amazonica,Q3
progres en urologie,Q4
international journal of microwave and wireless technologies,Q4
chinese journal of chemical physics,Q4
israel journal of mathematics,Q2
journal of logical and algebraic methods in programming,Q1
geography,Q4
proceedings of the edinburgh mathematical society,Q2
jpc-journal of planar chromatography-modern tlc,Q4
international journal of mental health promotion,Q4
combustion explosion and shock waves,Q4
acta mathematica scientia,Q2
izvestiya-physics of the solid earth,Q4
journal of comparative pathology,Q3
veterinary and comparative orthopaedics and traumatology,Q3
stratigraphy,Q3
high temperatures-high pressures,Q4
semiconductors and semimetals,Q4
target-international journal of translation studies,N/A
hokkaido mathematical journal,Q2
child & family behavior therapy,Q4
radiophysics and quantum electronics,Q4
communications in analysis and geometry,Q2
education and training in autism and developmental disabilities,Q4
economic development quarterly,Q4
journal for the study of education and development,Q4
tropical zoology,Q3
canadian journal of animal science,Q3
horticulture journal,Q3
acta herpetologica,Q3
modern asian studies,Q3
australian journal of adult learning,Q4
canadian veterinary journal-revue veterinaire canadienne,Q3
carnets de geologie,Q4
european journal of horticultural science,Q4
journal de l ecole polytechnique-mathematiques,Q2
columbia journal of transnational law,Q3
sportverletzung-sportschaden,Q4
australian journal of zoology,Q3
rehabilitation,Q4
acta crystallographica section f-structural biology communications,Q4
international journal of optics,Q4
journal of continuing education in nursing,Q4
transactions of the japan society for aeronautical and space sciences,Q4
asia-pacific journal of operational research,Q4
quarterly of applied mathematics,Q3
biologia futura,Q4
early years,Q4
quantum information & computation,Q3
animal biodiversity and conservation,Q3
nonlinear dynamics psychology and life sciences,Q4
nationalities papers-the journal of nationalism and ethnicity,Q1
science of advanced materials,Q4
language variation and change,N/A
intervention in school and clinic,Q4
geologica acta,Q4
journal of development effectiveness,Q4
quarterly journal of mechanics and applied mathematics,Q3
noropsikiyatri arsivi-archives of neuropsychiatry,Q4
ergodic theory and dynamical systems,Q2
progress in transplantation,Q4
postepy w kardiologii interwencyjnej,Q4
applied biochemistry and microbiology,Q4
journal of social philosophy,N/A
pharmaceutical chemistry journal,Q4
manchester school,Q4
journal of the polynesian society,Q3
glossa-a journal of general linguistics,N/A
algebra & number theory,Q2
blood coagulation & fibrinolysis,Q4
nodea-nonlinear differential equations and applications,Q3
revista mexicana de ciencias geologicas,Q4
geochemical journal,Q4
minerva chirurgica,Q4
advances in applied probability,Q4
chinese journal of geophysics-chinese edition,Q4
indiana university mathematics journal,Q2
elektronika ir elektrotechnika,Q4
american journal of psychology,Q4
journal of the faculty of engineering and architecture of gazi university,Q4
journal of gemmology,Q4
international journal on artificial intelligence tools,Q4
belgian journal of zoology,Q3
gynecologie obstetrique fertilite & senologie,Q4
journal of latin american studies,N/A
tenside surfactants detergents,Q4
medycyna pracy,Q4
random structures & algorithms,Q2
journal of universal computer science,Q3
journal of the australian library and information association,Q3
american journal of veterinary research,Q3
bradleya,Q4
journal of industrial economics,Q4
clinical laboratory,Q4
herpetozoa,Q3
memory studies,N/A
anaesthesist,Q4
phosphorus sulfur and silicon and the related elements,Q4
aerospace medicine and human performance,Q4
landbauforschung-journal of sustainable and organic agricultural systems,Q3
canadian journal of chemistry,Q4
phytotaxa,Q4
annales zoologici fennici,Q3
revista brasileira de entomologia,Q3
infor,Q4
optical review,Q4
russian journal of pacific geology,Q4
physicochemical problems of mineral processing,Q4
latin american perspectives,Q3
vascular and endovascular surgery,Q4
journal of pressure vessel technology-transactions of the asme,Q4
china foundry,Q3
all life,Q4
progress in chemistry,Q4
journal of the south african veterinary association,Q3
earth sciences research journal,Q4
anti-corrosion methods and materials,Q3
archives of acoustics,Q4
journal of computer and system sciences,Q3
ocean science journal,Q4
applied economic analysis,Q4
neues jahrbuch fur geologie und palaontologie-abhandlungen,Q4
international journal of robotics & automation,Q4
electromagnetics,Q4
expert opinion on orphan drugs,Q4
logopedics phoniatrics vocology,Q4
journal of mineralogical and petrological sciences,Q4
annali della scuola normale superiore di pisa-classe di scienze,Q2
scandinavian journal of statistics,Q4
annals of combinatorics,Q3
physiotherapy canada,Q4
science of computer programming,Q4
sequential analysis-design methods and applications,Q4
journal of insect behavior,Q3
commentarii mathematici helvetici,Q2
international journal of evidence & proof,Q3
history of science,N/A
swiss journal of psychology,Q4
canadian metallurgical quarterly,Q4
bulletin of the london mathematical society,Q2
economic record,Q4
materialwissenschaft und werkstofftechnik,Q4
indian journal of orthopaedics,Q4
recht & psychiatrie,Q4
arquivos brasileiros de oftalmologia,Q4
analysis and geometry in metric spaces,Q2
hispanic journal of behavioral sciences,Q4
rendiconti lincei-matematica e applicazioni,Q2
childrens health care,Q4
bulletin des sciences mathematiques,Q3
dynamics of partial differential equations,Q3
studies in nonlinear dynamics and econometrics,Q4
emirates journal of food and agriculture,Q4
nature + culture,Q4
journal of historical geography,Q2
ai communications,Q4
journal of swine health and production,Q3
discussiones mathematicae graph theory,Q2
journal for healthcare quality,Q4
international journal of uncertainty fuzziness and knowledge-based systems,Q4
mathematical physics analysis and geometry,Q3
circuit world,Q4
ornis fennica,Q3
cytologia,Q4
acta paulista de enfermagem,Q4
iberica,N/A
zootaxa,Q3
exploration geophysics,Q4
journal of labor research,Q4
industrial law journal,Q3
radiation effects and defects in solids,Q4
proceedings of the estonian academy of sciences,Q4
empirica,Q4
hastings law journal,Q3
contemporary pacific,Q3
systematic parasitology,Q4
polymer science series b,Q4
engineering economist,Q4
cardiology in the young,Q4
astrophysical bulletin,Q4
iranian journal of fisheries sciences,Q4
latin american journal of aquatic research,Q4
jcpsp-journal of the college of physicians and surgeons pakistan,Q4
tuexenia,Q4
italian journal of food science,Q4
koedoe,Q4
subterranean biology,Q3
international journal of tropical insect science,Q3
journal of environmental and engineering geophysics,Q4
acta botanica croatica,Q4
brazilian journal of poultry science,Q3
annals of mathematics and artificial intelligence,Q3
chinese journal of electronics,Q4
journal of minimal access surgery,Q4
english language & linguistics,N/A
asian biomedicine,Q4
frontiers-a journal of women studies,Q3
new zealand journal of botany,Q4
comparative studies in society and history,N/A
journal of nonlinear and convex analysis,Q2
advances in mathematics of communications,Q3
transplantation proceedings,Q4
mathematical inequalities & applications,Q2
international journal of diabetes in developing countries,Q4
journal of theoretical and computational acoustics,Q4
journal of nonparametric statistics,Q4
computer animation and virtual worlds,Q4
cerne,Q4
ceramics-silikaty,Q3
metrology and measurement systems,Q4
contemporary political theory,Q4
revista matematica complutense,Q2
archives of rheumatology,Q4
international journal of software engineering and knowledge engineering,Q4
international journal of clothing science and technology,Q3
sains malaysiana,Q4
orthopade,Q4
journal of structural chemistry,Q4
american surgeon,Q4
theoretical computer science,Q4
journal of the pakistan medical association,Q4
journal of geometric analysis,Q2
stochastics-an international journal of probability and stochastic processes,Q4
drewno,Q3
zeitschrift fur entwicklungspsychologie und padagogische psychologie,Q4
zeitschrift fur psychosomatische medizin und psychotherapie,Q1
