Key,Item Type,Publication Year,Author,Title,type,Spectral,RS_type,AG_BG,Method,Area_Country,Latitude,Longitude,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments
E7426ARE,journalArticle,2019,"Guo, Long; Zhang, Haitao; Shi, Tiezhu; Chen, Yiyun; Jiang, Qinghu; Linderman, M.",Prediction of soil organic carbon stock by laboratory spectral data and airbornee hyperspectral images,article,multispectral,airborne,BG,PLSR,USA,39.828175,-98.5795,Geoderma,,167061,10.1016/j.geoderma.2018.09.003,https://linkinghub.elsevier.com/retrieve/pii/S0016706117307061,"Soil organic carbon (SOC) plays an important role in controlling the function and quality of soil and oﬀsetting the emissions of greenhouse gases. However, the dynamic monitoring and estimation of SOC are very diﬃcult due to the complex traditional methods and the changing environmental variables. For instance, the calculation of SOC stock requires measurement of a few relevant soil attributes, such as soil organic matter (SOM), soil bulk density (SBD), soil moisture, and soil weight, in the laboratory. Many studies have suggested that visible and near-infrared (vis–NIR) spectra are a practical and aﬀordable alternative to accurately and rapidly estimate the soil attributes relevant to SOC stock, and airbornee hyperspectral images can be used as a valuable data source to perform digital soil mapping with high spatial resolution. The objective of this research was to check the predicted capability of SOC stock through laboratory and airbornee vis–NIR spectral data. A total of 50 topsoil samples (0–15 cm) from the farmland of Iowa City were used as the study object. The partial least squares regression model was used to predict SOC stock through the direct and indirect methods. In the direct method, the SOC stock was predicted using the spectral data. In the indirect method, the relevant soil properties (SOM and SBD) of the SOC stock were predicted using the spectral data, and then the SOC stock was calculated. The mechanism of the prediction methods and the potential inﬂuencing factors of the model performance were discussed from the aspect of electromagnetic theory and empirical statistics. Results showed the following: (i) SOC stock can be successfully predicted using the laboratory spectra and the airbornee hyperspectral image through the direct and indirect methods; (ii) the SOC stock and its relevant soil properties (SOM and SBD) showed evident spectral absorption characteristics in the vis–NIR spectral band; (iii) the atmospheric environment and soil surface conditions were the main inﬂuencing factors of the prediction accuracy between the airbornee and laboratory spectra. This research might be useful for the dynamic monitoring and modeling of SOC in agricultural and environmental ﬁelds.",2019-03,9/1/22 17:14,9/1/22 17:14,9/1/22 17:14,32-41,,,337,,Geoderma,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/CG39XUU8/Guo et al. - 2019 - Prediction of soil organic carbon stock by laborat.pdf
L6XB4HN2,journalArticle,2012,"Hbirkou, Christine; Pätzold, Stefan; Mahlein, Anne-Katrin; Welp, Gerhard",airbornee hyperspectral imaging of spatial soil organic carbon heterogeneity at the field-scale,article,hyperspectral,airborne,BG,PLSR,Germany,51.5,10.5,Geoderma,,167061,10.1016/j.geoderma.2012.01.017,https://linkinghub.elsevier.com/retrieve/pii/S0016706112000432,"A detailed knowledge on the heterogeneity of the soil organic carbon (SOC) content in agricultural soils is required to support applications such as precision agriculture and soil C monitoring. Imaging spectroscopy in the visible (VIS) and near-infrared (NIR) region has proven to be highly sensitive to organic soil components and can efﬁciently provide data with high spatial resolution. The objectives of our study were (i) to test the suitability of airbornee hyperspectral imaging for the characterisation of the spatial heterogeneity of the SOC content at the ﬁeld-scale, (ii) to investigate the impact of various soil surface conditions (roughness, vegetation) on SOC prediction and (iii) to produce SOC maps for arable ﬁelds on a pixel-wise basis. The soil reﬂectance was recorded by the aircraft-mounted hyperspectral sensor HyMap (450–2500 nm) on test sites with the following varying soil surface conditions: bare soil, ﬁne seed-bed; ploughed, bare soil; volunteer crops; straw residues. A partial least squares regression (PLSR) was performed for data analysis. Our results reveal an accurate prediction of the SOC content at a comparatively small concentration range (8.3 to 18.5 g SOC kg−1) on long-term uniformly cultivated ﬁelds. Site-speciﬁc characteristics inﬂuenced the calibration models; highest prediction accuracy was performed over a bare, ﬁne soil (RMSEP = 0.76 g SOC kg−1; RPD = 2.08). A generated pixel-wise map (8 m × 8 m) allows the detection of small-scale spatial variability of SOC content and comparatively more realistic than an interpolated map. Thus, airbornee hyperspectral imaging constitutes a substantial progress compared to point observations and facilitates well-directed applications in precision agriculture.",2012-04,9/1/22 17:14,9/1/22 17:14,9/1/22 17:14,21-28,,,175-176,,Geoderma,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/AB5AUCF3/Hbirkou et al. - 2012 - airbornee hyperspectral imaging of spatial soil org.pdf
VRNSB959,journalArticle,2018,"He, Mingzhu; Kimball, John; Maneta, Marco; Maxwell, Bruce; Moreno, Alvaro; Beguería, Santiago; Wu, Xiaocui",Regional Crop Gross Primary Productivity and Yield Estimation Using Fused Landsat-MODIS Data,article,multispectral,spaceborne,AG,LR,USA,39.828175,-98.5795,Remote Sensing,,2072-4292,10.3390/rs10030372,http://www.mdpi.com/2072-4292/10/3/372,"Accurate crop yield assessments using satellite remote sensing-based methods are of interest for regional monitoring and the design of policies that promote agricultural resiliency and food security. However, the application of current vegetation productivity algorithms derived from global satellite observations is generally too coarse to capture cropland heterogeneity. The fusion of data from different sensors can provide enhanced information and overcome many of the limitations of individual sensors. In thitables study, we estimate annual crop yields for seven important crop types across Montana in the continental USA from 2008–2015, including alfalfa, barley, maize, peas, durum wheat, spring wheat and winter wheat. We used a satellite data-driven light use efﬁciency (LUE) model to estimate gross primary productivity (GPP) over croplands at 30-m spatial resolution and eight-day time steps using a fused NDVI dataset constructed by blending Landsat (5 or 7) and Terra MODIS reﬂectance data. The fused 30-m NDVI record showed good consistency with the original Landsat and MODIS data, but provides better spatiotemporal delineations of cropland vegetation growth. Crop yields were estimated at 30-m resolution as the product of estimated GPP accumulated over the growing season and a crop-speciﬁc harvest index (HIGPP). The resulting GPP estimates capture characteristic cropland productivity patterns and seasonal variations, while the estimated annual crop production results correspond favorably with reported county-level crop production data (r = 0.96, relative RMSE = 37.0%, p < 0.05) from the U.S. Department of Agriculture (USDA). The performance of estimated crop yields at a ﬁner (ﬁeld) scale was generally lower, but still meaningful (r = 0.42, relative RMSE = 50.8%, p < 0.05). Our methods and results are suitable for operational applications of crop yield monitoring at regional scales, suggesting the potential of using global satellite observations to improve agricultural management, policy decisions and regional/global food security.",2/28/18,9/1/22 17:17,9/1/22 17:17,9/1/22 17:17,372,,3,10,,Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/MIYXPFDX/He et al. - 2018 - Regional Crop Gross Primary Productivity and Yield.pdf
ZRKJMTGC,journalArticle,2020,"Hong, Yongsheng; Guo, Long; Chen, Songchao; Linderman, Marc; Mouazen, Abdul M.; Yu, Lei; Chen, Yiyun; Liu, Yaolin; Liu, Yanfang; Cheng, Hang; Liu, Yi",Exploring the potential of airbornee hyperspectral image for estimating topsoil organic carbon: Effects of fractional-order derivative and optimal band combination algorithm,article,hyperspectral,airborne,BG,RF,USA,39.828175,-98.5795,Geoderma,,167061,10.1016/j.geoderma.2020.114228,https://linkinghub.elsevier.com/retrieve/pii/S0016706119310328,"Estimating soil organic carbon (SOC) in topsoil can help improve soil quality and food production. This study aimed to explore the potential of airbornee hyperspectral image to estimate the SOC of bare topsoil at an agricultural site located in the southeast part of Iowa State, United States. To magnify the subtle spectral signals concerning SOC, and accelerate calibration and improve predictive ability, we developed a framework to combine two advanced spectral algorithms, namely, fractional-order derivative (FOD) and optimal band combination algorithm for SOC predicting. Our case was based on 49 soil samples and a scattered airbornee hyperspectral image. Random forest (RF) was utilized to establish SOC estimation models by incorporating the optimal spectral indices processed by different FOD transformations on the basis of the optimal band combination algorithm. Results indicated that when the fractional order increased, overlapping peaks and baseline drifts were gradually removed. However, the magnitude of spectral strength decreased concurrently. More detailed and abundant spectral variability was captured by FOD as compared with those by original reflectance and first and second derivatives. The estimation accuracies developed from the optimal band combination algorithm (crossvalidation R2, 0.36–0.66) were generally better than those from full-spectrum data (cross-validation R2, 0.32–0.54). The RF model based on the combination of 0.75-order reflectance and optimal band combination algorithm obtained the highest estimation accuracy for SOC with cross-validation R2 of 0.66. This research provides guidance for future studies in selecting the most appropriate FOD transformation to preprocess spectral data and in using the optimal band combination algorithm to determine the spectral index. airbornee hyperspectral image-based modeling can be further used to map agricultural topsoil SOC to support local-scale agricultural planning.",2020-04,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,114228,,,365,,Geoderma,Exploring the potential of airbornee hyperspectral image for estimating topsoil organic carbon,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/GYSNNGR8/Hong et al. - 2020 - Exploring the potential of airbornee hyperspectral .pdf
25IAMLIT,journalArticle,2019,"Issa, Salem; Dahy, Basam; Saleous, Nazmi; Ksiksi, Taoufik",Carbon stock assessment of date palm using remote sensing coupled with field-based measurements in Abu Dhabi (United Arab Emirates),article,multispectral,spaceborne,AG,"SLR, MLR",United Arab Emirates,24,54,International Journal of Remote Sensing,,"0143-1161, 1366-5901",10.1080/01431161.2019.1602795,https://www.tandfonline.com/doi/full/10.1080/01431161.2019.1602795,"This study aims at developing a remote sensing based model to estimate carbon stock (CS) in date palm plantations in the United Arab Emirates (UAE). Data from Landsat 8 OLI were used to assess the correlation between spectral reﬂectance and diﬀerent vegetation indices on one side, and aboveground biomass (AGB) derived from ground measurements on the other. AGB and CS (ton ha−1) were estimated using traditional destructive methods of standard sampling techniques and allometric equations developed in a previous study for date palms in the area. The relationships between the estimated AGB and parameters derived from remote sensing (RS) data were tested using single and multiple linear regression analysis. The results indicated a signiﬁcant correlation with certain RS parameters. For mature palms class alone (>10 years), the correlation with single bands was only signiﬁcant with SWIR1 and SWIR2 while the correlation was signiﬁcant with all tested VI’s except for TCB vegetation index. A combination of bands R, SWIR1, and SWIR2 improved the determination of this class to a coeﬃcient of determination (R2) value of 0.961. However, for the medium and young age classes (10–5 and less than 5 years), the correlation was not signiﬁcant (with the exception of SWIR1 and TCB index for medium class), where the use of higher spatial resolution can be a good alternative. On the other hand, for mixed ages (young, medium and mature palms), the strongest correlations were found using SWIR2 single band and the SR vegetation index; having R2 values of 0.753 and 0.871, respectively. The R2 was improved to 0.952 by using stepwise multiple regression combining DVI, NDI, and RVI vegetation indices. Finally, results obtained showed that CS represented 53.87% of the total AGB in date palms. Subsequently, the average amount of carbon stock (CS) for both mature and mixed classes was calculated at 15.81 and 10.3 ton ha−1 respectively.",10/2/19,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,7561-7580,,19,40,,International Journal of Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/MIBHUTZK/Issa et al. - 2019 - Carbon stock assessment of date palm using remote .pdf
LD4Z32KD,journalArticle,2022,"Jahandideh Mahjenabadi, Vahid Alah; Roohollah Mousavi, Seyed; Rahmani, Asghar; Karami, Alidad; Asadi Rahmani, Hadi; Khavazi, Kazem; Rezaei, Meisam","Digital mapping of soil biological properties and wheat yield using remotely sensed, soil chemical data and machine learning approaches",article,multispectral,spaceborne,BG,RF,Iran,32,53,Computers and Electronics in Agriculture,,1681699,10.1016/j.compag.2022.106978,https://linkinghub.elsevier.com/retrieve/pii/S0168169922002952,"Mapping of soil properties by using novel machine learning (ML) algorithms and optimized environmental covariates is of great importance for agricultural management to enhance crop production. This research aimed at evaluating ML algorithms to predict spatial distribution of soil biological properties and wheat yield in the Southwest of Iran. Topsoil samples (0–30 cm) were collected from a total of 60 sampling locations and wheat grain yield (plot 1 × 1 m) was recorded at each location. Soil properties including urease (Ur), alkaline phosphatase (AP), basal respiration (BR), microbial biomass carbon (MBC), soil organic carbon (SOC), MBC:SOC ratio, and metabolic quotient (qCO2) were measured. At the first step, Random Forest (RF) model was employed to predict soil biological properties by using terrain attributes, remote sensing indices and soil properties as covariates. In this step, both Variance Inflation Factor (VIF) and Pearson regression were applied to select the most important covariates in predicting soil biological properties and to decrease the dimension of the input space with considering no reduction in prediction accuracy. Secondly, wheat grain yield was modeled using six ML algorithms; they were optimized and evaluated in Caret package with 10-fold cross validation. Results showed the highest prediction accuracy for qCO2 (R2adj = 0.80) and the lowest for BR (R2adj = 0.23). Compared to environmental predictors, soil covariates had a greater effect in modeling Ur, qCO2, MBC and MBC:SOC ratio, while, for AP and BR, bands 6 and Chanel Network Base Level were the most important factors, respectively. In prediction of wheat grain yield, both Stochastic Gradient Boosting (SGB) and RF models outperformed with R2adj of 0.89 and 0.88, respectively. Results indicated that the Ur and AP played the major roles in predicting wheat grain yield and explaining its spatial variability. Our modeling results suggested that soil biological properties and yield can be estimated easily with reasonable accuracy. Overall, their high resolution maps may be useful for decision makers, stakeholders and applicants in agricultural management practices towards precision agriculture.",2022-06,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,106978,,,197,,Computers and Electronics in Agriculture,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/A6C6AYB5/Jahandideh Mahjenabadi et al. - 2022 - Digital mapping of soil biological properties and .pdf
3X4PDPGP,journalArticle,2016,"Kanning, Martin; Siegmann, Bastian; Jarmer, Thomas",Regionalization of Uncovered Agricultural Soils Based on Organic Carbon and Soil Texture Estimations,article,hyperspectral,spaceborne and airborne,BG,PLSR,Germany,51.5,10.5,Remote Sensing,,2072-4292,10.3390/rs8110927,http://www.mdpi.com/2072-4292/8/11/927,"The determination of soil texture and organic carbon across agricultural areas provides important information to derive soil condition. Precise digital soil maps can help to till agricultural ﬁelds with more accuracy, greater cost-efﬁciency and better environmental protection. In the present study, the laboratory analysis of sand, silt, clay and soil organic carbon (SOC) content was combined with hyperspectral image data to estimate the distribution of soil texture and SOC across an agricultural area. The aim was to identify regions with similar soil properties and derive uniform soil regions based on this information. Soil parameter data and corresponding laboratory spectra were used to calibrate cross-validated (leave-one-out) partial least squares regression (PLSR) models, resulting in robust models for sand (R2 = 0.77, root-mean-square error (RMSE) = 5.37) and SOC (R2 = 0.89, RMSE = 0.27), as well as moderate models for silt (R2 = 0.62, RMSE = 5.46) and clay (R2 = 0.53, RMSE = 2.39). The regression models were applied to airbornee Imaging Spectrometer for Applications DUAL (aisaDUAL) hyperspectral image data to spatially estimate the concentration of these parameters. Afterwards, a decision tree, based on the Food and Agriculture Organization (FAO) soil texture classiﬁcation scheme, was developed to determine the soil texture for each pixel of the hyperspectral airbornee data. These soil texture regions were further reﬁned with the spatial SOC estimations. The developed method is useful to identify spatial regions with similar soil properties, which can provide a vital information source for an adapted treatment of agricultural ﬁelds in terms of the necessary amount of fertilizers or water. The approach can also be adapted to wider regions with a larger sample size to create detailed digital soil maps (DSMs). Further, the presented method should be applied to future hyperspectral satellite missions like Environmental Mapping and Analysis Program (EnMap) and Hyperspectral Infrared Imager (HyspIRI) to cover larger areas in shorter time intervals. Updated DSMs on a regular basis could particularly support precision farming aspects.",11/8/16,9/1/22 17:05,9/1/22 17:05,9/1/22 17:05,927,,11,8,,Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/Y6KMHKHG/Kanning et al. - 2016 - Regionalization of Uncovered Agricultural Soils Ba.pdf
IISUADAD,journalArticle,2014,"Kumar, Manoj; Singh, R. P.; Panigrahy, S.; Raghubanshi, A. S.","Carbon density and accumulation in agroecosystem of Indo-Gangetic Plains and Vindhyan highlands, India",article,multispectral,spaceborne,AG/BG,ANOVA,India,20,77,Environmental Monitoring and Assessment,,"0167-6369, 1573-2959",10.1007/s10661-014-3752-3,http://link.springer.com/10.1007/s10661-014-3752-3,"In agroecosystems, the annual carbon (C) inputs to soil are one of the most promising greenhouse gas mitigation options. Net primary productivity (NPP) provides the inputs of C in ecosystems that can potentially be sequestered in soil organic matter. In this study, we estimates the C density and accumulation rate in rice–wheat agroecosystem at four sites of IndoGangetic Plains and Vindhyan highlands through amalgamation of ground truth (GT) and remote sensing (RS) approach. In addition to this, we validated fieldmeasured aboveground net production (ANP) with remotely sensed SPOT-Vegetation data. ANP of the sites ranged from 6.8 to 11.1 and 3.3 to 8.8 t-C ha−1 year−1 for GT and RS, respectively. Both estimates (GT and RS) were linearly and significantly related with each other (y=1.33x−5.82, R2=0.93, P=0.04; where x=GT ANP and y=RS ANP). For the whole region, total NPP (rice+ wheat) was ranged from 7.9 to 12.5 t-C ha−1 year−1. The C accumulation potential of the present agroecosystems was 9.1 and 1.9 t-C ha−1 year−1 in the form of ANP and belowground NPP (BNP), respectively. The aboveground C stock of agroecosystem allocated in foliage (7.8 %), stem (57.6 %), and grain (35.1 %). Survey about the fate of post-harvested materials indicated that aboveground portion of the crop is almost used completely within the year for different purposes including human consumption and cattle feeding. Therefore, only BNP and litter contribute to long-term C sequestration. Since agroecosystem has enormous potential to sequester C, better management of aboveground portion NPP of the crop may enhance C sequestration potential of agroecosystem.",2014-08,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,4971-4985,,8,186,,Environ Monit Assess,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/FFUHFQJ9/Kumar et al. - 2014 - Carbon density and accumulation in agroecosystem o.pdf
NSFJZUUJ,journalArticle,2019,"Laamrani, Ahmed; Berg, Aaron A.; Voroney, Paul; Feilhauer, Hannes; Blackburn, Line; March, Michael; Dao, Phuong D.; He, Yuhong; Martin, Ralph C.","Ensemble Identification of Spectral Bands Related to Soil Organic Carbon Levels over an Agricultural Field in Southern Ontario, Canada",article,hyperspectral,UAV,BG,"PLSR, RF, SVM ",Canada,60,-96,Remote Sensing,,2072-4292,10.3390/rs11111298,https://www.mdpi.com/2072-4292/11/11/1298,"The recent use of hyperspectral remote sensing imagery has introduced new opportunities for soil organic carbon (SOC) assessment and monitoring. These data enable monitoring of a wide variety of soil properties but pose important methodological challenges. Highly correlated hyperspectral spectral bands can a↵ect the prediction and accuracy as well as the interpretability of the retrieval model. Therefore, the spectral dimension needs to be reduced through a selection of speciﬁc spectral bands or regions that are most helpful to describing SOC. This study evaluates the e ciency of visible near-infrared (VNIR) and shortwave near-infrared (SWIR) hyperspectral data to identify the most informative hyperspectral bands responding to SOC content in agricultural soils. Soil samples (111) were collected over an agricultural ﬁeld in southern Ontario, Canada and analyzed against two hyperspectral datasets: An airbornee Nano-Hyperspec imaging sensor with 270 bands (400–1000 nm) and a laboratory hyperspectral dataset (ASD FieldSpec 3) along the 1000–2500 nm range (NIR-SWIR). In parallel, a multimethod modeling approach consisting of random forest, support vector machine, and partial least squares regression models was used to conduct band selections and to assess the validity of the selected bands. The multimethod model resulted in a selection of optimal band or regions over the VNIR and SWIR sensitive to SOC and potentially for mapping. The bands that achieved the highest respective importance values were 711–715, 727, 986–998, and 433–435 nm regions (VNIR); and 2365–2373, 2481–2500, and 2198–2206 nm (NIR-SWIR). Some of these bands are in agreement with the absorption features of SOC reported in the literature, whereas others have not been reported before. Ultimately, the selection of optimal band and regions is of importance for quantiﬁcation of agricultural SOC and would provide a new framework for creating optimized SOC-speciﬁc sensors.",5/31/19,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,1298,,11,11,,Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/AVSLWLVV/Laamrani et al. - 2019 - Ensemble Identification of Spectral Bands Related .pdf
VPN4JDSP,journalArticle,2020,"Lal, Rattan",The role of industry and the private sector in promoting the “4 per 1000” initiative and other negative emission technologies,review,,multiple,AG/BG,multiple,multiple,,,Geoderma,,167061,10.1016/j.geoderma.2020.114613,https://linkinghub.elsevier.com/retrieve/pii/S0016706120305693,"The need for adopting negative emission technologies (NETs) is greater now than ever before. The “4 per 1000” (4p1000) initiative, launched during the COP 21 in Paris in 2015, based on translating the science of soil carbon sequestration into action at the global scale, is one example of a broader set of negative emission technologies (NETs). While governments and non-governmental organizations are voluntarily implementing the aspirational 4p1000, its adoption and pledges by industry or the private sector is the driving force to accelerate the process of re-carbonization of soil and the terrestrial biosphere. The pledge of achieving carbon (C) neutrality by 2030 or 2050 by some prominent industries is encouraging, and it can serve as a role model for other industries to follow. Adoption of the 4p1000 concept by agro-industries (e.g., fertilizers, pesticides, farm machinery, irrigation, food processing) can promote and accelerate adoption of recommended management practices which create a positive/soil ecosystem carbon budget and enhance C sequestration. This review article describes examples of the emission-neutral concept already adopted by some industries, outlines strategies to promote 4p1000 and NETs, and discusses approaches to advance site-speciﬁc NETs. These techniques may include conservation agriculture, cover cropping, precision agriculture, etc., facilitated by artiﬁcial intelligence, remote sensing, and robots. Innovative methods of soil sampling as well as remote sensing and mapping of SOC stock are pertinent to promoting NETs and 4p1000. Payments to land managers and farmers for provisioning of ecosystem services through C sequestration in soil and the biosphere can advance the mission of 4p1000. Amongst strategies of encouraging industries to adopt NETs, implementation of a “Healthy Soil Act” at the state, national, and global level could be a step in the right direction. Market-based economic incentives to industry may be another option to promote adoption of NETs. Similar to U.S. EPA Clean Air Act of 1963 and the U.S. EPA Clean Water Act of 1972, there is a strong need to enact a Healthy Soil Act globally. An eﬀective implementation of the trinity of Acts (air, water, and soil) at the national and global scale will accelerate the process of re-carbonization of the soil and the terrestrial biosphere while also strengthening the provisioning of essential ecosystem services.",2020-11,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,114613,,,378,,Geoderma,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/52C8BY5V/Lal - 2020 - The role of industry and the private sector in pro.pdf
TVQ4NCK8,journalArticle,2018,"Liu, Yibo; Xiao, Jingfeng; Ju, Weimin; Zhu, Gaolong; Wu, Xiaocui; Fan, Weiliang; Li, Dengqiu; Zhou, Yanlian",Satellite-derived LAI products exhibit large discrepancies and can lead to substantial uncertainty in simulated carbon and water fluxes,article,multispectral,spaceborne,AG,multiple,China,35,105,Remote Sensing of Environment,,344257,10.1016/j.rse.2017.12.024,https://linkinghub.elsevier.com/retrieve/pii/S0034425717305977,"Understanding the terrestrial carbon and water cycles is crucial for mitigation and adaptation for climate change. Leaf area index (LAI) is a key biophysical parameter in process-based ecosystem models for simulating gross primary productivity (GPP) and evapotranspiration (ET). The uncertainty in satellite-derived LAI products and their eﬀects on the simulation of carbon and water ﬂuxes at regional scales remain unclear. We evaluated three satellite-derived LAI products - MODIS (MCD15), GLASS, and Four-Scale Geometric Optical Model based LAI (FSGOM) over the period 2003–2012 using ﬁne-resolution (30 m) LAI data and ﬁeld LAI measurements. GLASS had higher accuracy than FSGOM and MCD15 for forests, while FSGOM had higher accuracy than MCD15 and GLASS for grasslands. The three LAI products diﬀered in magnitude, spatial patterns, and trends in LAI. We then examined the resulting discrepancies in simulated annual GPP and ET over China using a process-based, diagnostic terrestrial biosphere model. Mean annual total GPP for China's terrestrial ecosystems based on GLASS (6.32 Pg C yr− 1) and FSGOM (6.15 Pg C yr−1) was 22.5% and 19.2% higher than that based on MCD15 (5.16 Pg C yr− 1), respectively. Annual GPP based on GLASS and MCD15 increased over larger fractions of China's vegetated area (15.9% and 17.3%, respectively) than that based on FSGOM (12.6%). National annual ET based on GLASS (379.9 mm yr−1) and FSGOM (374.4 mm yr− 1) was 7.9% and 6.3% higher than that based on MCD15 (352.1 mm yr−1), respectively. Simulated ET increased in larger fractions of the vegetated area for GLASS (5.7%) and MCD15 (5.8%) than for FSGOM (3.9%). Our study shows that there were large discrepancies in LAI among satellite-derived LAI products and the biases of the LAI products could lead to substantial uncertainties in simulated carbon and water ﬂuxes.",2018-03,9/1/22 17:15,9/1/22 17:15,9/1/22 17:15,174-188,,,206,,Remote Sensing of Environment,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/SJFQDBZU/Liu et al. - 2018 - Satellite-derived LAI products exhibit large discr.pdf
398WHDDX,journalArticle,2013,"Lloyd, Colin R; Rebelo, Lisa-Maria; Max Finlayson, C",Providing low-budget estimations of carbon sequestration and greenhouse gas emissions in agricultural wetlands,review,,multiple,AG,multiple,multiple,,,Environmental Research Letters,,1748-9326,10.1088/1748-9326/8/1/015010,https://iopscience.iop.org/article/10.1088/1748-9326/8/1/015010,"The conversion of wetlands to agriculture through drainage and ﬂooding, and the burning of wetland areas for agriculture have important implications for greenhouse gas (GHG) production and changing carbon stocks. However, the estimation of net GHG changes from mitigation practices in agricultural wetlands is complex compared to dryland crops. Agricultural wetlands have more complicated carbon and nitrogen cycles with both above- and below-ground processes and export of carbon via vertical and horizontal movement of water through the wetland. This letter reviews current research methodologies in estimating greenhouse gas production and provides guidance on the provision of robust estimates of carbon sequestration and greenhouse gas emissions in agricultural wetlands through the use of low cost reliable and sustainable measurement, modelling and remote sensing applications. The guidance is highly applicable to, and aimed at, wetlands such as those in the tropics and sub-tropics, where complex research infrastructure may not exist, or agricultural wetlands located in remote regions, where frequent visits by monitoring scientists prove difﬁcult. In conclusion, the proposed measurement-modelling approach provides guidance on an affordable solution for mitigation and for investigating the consequences of wetland agricultural practice on GHG production, ecological resilience and possible changes to agricultural yields, variety choice and farming practice.",3/1/13,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,15010,,1,8,,Environ. Res. Lett.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/C8VVEVK6/Lloyd et al. - 2013 - Providing low-budget estimations of carbon sequest.pdf
HXTDMNTB,journalArticle,2022,"Mandal, Agniva; Majumder, Atin; Dhaliwal, S. S.; Toor, A. S.; Mani, Pabitra Kumar; Naresh, R. K.; Gupta, Raj K.; Mitran, Tarik",Impact of agricultural management practices on soil carbon sequestration and its monitoring through simulation models and remote sensing techniques: A review,review,,multiple,BG,multiple,multiple,,,Critical Reviews in Environmental Science and Technology,,"1064-3389, 1547-6537",10.1080/10643389.2020.1811590,https://www.tandfonline.com/doi/full/10.1080/10643389.2020.1811590,"Toward an attempt to limit the global warming to 2  C, there has been an increasing emphasis on devising suitable policies and practices for entrapment and storage of atmospheric CO2 to mitigate the detrimental effects of climatic change. Agriculture being a predominant global land use, C sequestration under different agro-ecosystems through appropriate management practices is an important option to combat the anthropogenic climate change. Conservation tillage along with residue management, stubble retention, mulching, organic farming and integrated nutrient management not only facilitates soil C storage but also improves soil health. Change in land-uses and cropping system also impart notable effects on soil C turnover. Biochar application is found effective in augmenting soil C stock and improving soil aggregation. Bioenergy plantations are also effective in sequestering C. Simulation models and remote sensing are innovative tools for predicting and mapping soil C status and identifying site-specific strategic policies to minimize the risk of land degradation and to maintain environmental sustainability. Therefore, the aim of this review is to disseminate ideas regarding current C status, identify researchable priorities and to deliberate pros and cons of agricultural management practices for better implementation of soil C sequestration strategies for mitigating the consequences of climate change.",1/2/22,9/1/22 17:06,9/1/22 17:06,9/1/22 17:06,Jan-49,,1,52,,Critical Reviews in Environmental Science and Technology,Impact of agricultural management practices on soil carbon sequestration and its monitoring through simulation models and remote sensing techniques,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/luciananieto/Zotero/storage/XGGVPPFB/Mandal et al. - 2022 - Impact of agricultural management practices on soi.pdf
